,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Ube4bos3,16.8856463534729,22.7876083377239,2.32648742035648,9.7948556000497,1.18466566917146e-22,1.18466566917146e-22
Mfsd4b4,16.9392296302042,22.7984547756547,2.35415106000928,9.68436357502261,3.51390173124513e-22,3.51390173124513e-22
Gm15246,22.2478606557859,23.1857655859027,2.40209484874434,9.65231060631211,4.80604150724523e-22,4.80604150724523e-22
Gm40076,9.12549216664878,21.9411798198333,2.27572147543847,9.64141704362387,5.344503580127e-22,5.344503580127e-22
Gm41562,11.6698813586793,22.2790756988444,2.31077317908226,9.64139444776342,5.34568031054814e-22,5.34568031054814e-22
Zfp768,23.7118691285582,23.2705357375839,2.42746547593525,9.58635085371018,9.12555473882076e-22,9.12555473882076e-22
Gm16315,12.8460459530435,22.4165950701728,2.35754325111459,9.50845549050894,1.93514248543452e-21,1.93514248543452e-21
Gm13817,10.0739045999192,20.8950691431526,2.2998975282369,9.08521744408792,1.03491607304643e-19,1.03491607304643e-19
Smpdl3b,9.11713467815323,21.9217311892856,2.47549697423789,8.85548696581801,8.33192556643838e-19,8.33192556643838e-19
9430060I03Rik,36.9057420762335,23.887599984328,2.71186227687381,8.808559412488,1.26764373337416e-18,1.26764373337416e-18
